STT,TÊN CÔNG TY,NGƯỜI LIÊN HỆ,ĐIỆN THOẠI ,TRẠNG THÁI,PHÂN KHÚC,,," KCS
ĐIỂM/30 ",HẠNG MỤC, Doanh số tháng 5 , Doanh số tháng 6 , Doanh số tháng 7 , Doanh số tháng 8 , Doanh số tháng 9 , Doanh số tháng 10 , Doanh số tháng 11 , Doanh số tháng 12 , Doanh số tháng 1 ,GHI CHÚ
18,Công ty TNHH kiến trúc và nội thất MMD,Anh Hoàng, 098 7809066,ACTIVE,,,LITE,23,Thi công nội thất,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
19,CÔNG TY CỔ PHẦN XÂY DỰNG THÁI HÀ CDC,Anh Dâng - Hải Dương,943987789,ACTIVE,PREMIUM,STANDARD,LITE,22,Thi công nội thất,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
20,CÔNG TY CỔ PHẦN GỖ BKG,Anh Sơn,986999555,ACTIVE,PREMIUM,STANDARD,,21.67,Thi công nội thất,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","Tên công ty:  Công ty cổ phần Gỗ BKG
Văn phòng: Phòng 401, Tầng 4, tòa nhà HPC Land Mark 105, Khu Đô Thị Văn Khê, Phường Hà Đông, Thành Phố Hà Nội, Việt Nam.
Nhà máy/Xưởng sản xuất: Km31 QL6, Xã Phú Nghĩa, Hà Nội & Lương Sơn, Nhuận Trạch, Hoà Bình
Quy mô nhà máy:   5000 m2 + 7000m2
Phòng sơn: Có
Số lượng nhân công tại nhà máy:  95 người
Sản lượng có thể nhận 1 tháng: 4 tỷ
https://drive.google.com/drive/folders/1yJzeAHC-9OkU5MneY8jyM7gQrwjGUwM2?usp=drive_link"
21,CÔNG TY TNHH H.WOOD,Anh Hải,926770888,ACTIVE,,STANDARD,LITE,21.5,Thi công nội thất,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","Tên công ty: CÔNG TY TNHH H.WOOD
Văn phòng: Tầng 6, tòa nhà 242 Vạn Phúc, Phường Hà Đông, Thành phố Hà Nội
Xưởng sản xuất:
Quy mô nhà máy: 500m2
Phòng sơn: Có
Số lượng nhân công tại nhà máy:10-12 người 
Sản lượng có thể nhận 1 tháng:  1.2-1.5 tỷ"
22,CÔNG TY TNHH NỘI THẤT VÀ THƯƠNG MẠI KHÔI NGUYÊN,anh Quyền,982552726,ACTIVE,,STANDARD,LITE,19,Thi công nội thất,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","Tên công ty: CÔNG TY TNHH NỘI THẤT VÀ THƯƠNG MẠI KHÔI NGUYÊN
Văn phòng: Số nhà 69 ngõ 167 đường Quang Tiến, phường Tây Mỗ, thành phố Hà Nội, Việt Nam
Nhà máy/Xưởng sản xuất:Số nhà 3, ngách 9/4, ngõ 4, đường Bát Phúc, xã Tân Lập, huyện Đan Phượng, HN
Quy mô nhà máy: 600m2
Phòng sơn: Có
Số lượng nhân công tại nhà máy: 12-15 người
Sản lượng có thể nhận 1 tháng: 1.2-1.5 tỷ"
23,Công ty CP Kiến trúc và nội thất Homegroup,Mr Phúc - Hải Dương,938715222,ACTIVE,,STANDARD,LITE,21.67,Thi công nội thất,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","Tên công ty: CP Kiến trúc và nội thất Homegroup
Văn phòng: 876-878 Lê Thanh Nghị, P Tân Hưng, TP Hải Phòng
Nhà máy/Xưởng sản xuất: Thôn Xuân Trì, xã Hồng Châu, TP HP
Quy mô nhà máy:   1000  m2
Phòng sơn: Có
Số lượng nhân công tại nhà máy: 23
Sản lượng có thể nhận 1 tháng: 2,5- 3  tỷ.
Profile công ty đính kèm (nếu có)/Hình ảnh xưởng, nhà máy"
24,CÔNG TY CỔ PHẦN HV INTERIOR,Mr Vũ,0923 661 886,ACTIVE,,STANDARD,LITE,21.67,Thi công nội thất,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","Tên công ty: CP Kiến trúc và nội thất Homegroup
Văn phòng: 876-878 Lê Thanh Nghị, P Tân Hưng, TP Hải Phòng
Nhà máy/Xưởng sản xuất: Thôn Xuân Trì, xã Hồng Châu, TP HP
Quy mô nhà máy:   1000  m2
Phòng sơn: Có
Số lượng nhân công tại nhà máy: 23
Sản lượng có thể nhận 1 tháng: 2,5- 3  tỷ.
Profile công ty đính kèm (nếu có)/Hình ảnh xưởng, nhà máy"
25,Công ty TNHH Quãng Cáo và Nội Thất Huy Hùng,Anh Hùng,039 3099668,ACTIVE,,,LITE,21.67,Thi công nội thất,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","Tên công ty: Công ty TNHH Quãng Cáo và Nội Thất Huy Hùng
mst: 0109565826
Văn phòng: số 3 xóm giếng, thôn Bách kim, xã Thạch Thất, tp Hà Nội.
Nhà máy/Xưởng sản xuất:số nhà 27 Thôn Lại Khánh , xã Thạch Thất. Tp Hà Nội.
Quy mô nhà máy:   400  m2
Phòng sơn: Có
Số lượng nhân công tại nhà máy:15 công nhân
Sản lượng có thể nhận 1 tháng: 1,5ty
Profile công ty đính kèm (nếu có)/Hình ảnh xưởng, nhà máy"
26,CÔNG TY CỔ PHẦN DALLAS VIỆT,Anh Thành,978795524,ACTIVE,PREMIUM,STANDARD,,25,Thi công đá,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
27,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VÀ XÂY DỰNG NT STONE,Mr Tuân,987756888,ACTIVE,,STANDARD,LITE,24.05,Thi công đá,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
28,CÔNG TY CỔ PHẦN CHẾ TÁC GLOBAL STONE,Mr Tùng,,ACTIVE,PREMIUM,STANDARD,,24,Thi công đá,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
29,  CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI  ĐÁ TOÀN CẦU,Huế,979155711,ACTIVE,,STANDARD,LITE,22,Thi công đá,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
30,CÔNG TY TNHH NỘI THẤT CÁNH KÍNH HQ HOME,Chị Nhung,388923333,ACTIVE,PREMIUM,STANDARD,LITE,23.33,Thi công kính,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
31,"TD T&C Co.,Ltd",Mr Đông,,ACTIVE,,STANDARD,LITE,23.33,Thi công kính,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
32,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TC HOME VIỆT NAM,TC HOME,,ACTIVE,,STANDARD,LITE,22.33,Thi công kính,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
33,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI VÀ DỊCH VỤ NHẬT MINH GROUP,Anh Vẻ,978084084,ACTIVE,PREMIUM,STANDARD,,22.1,Thi công kính,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
34,CÔNG TY TNHH XÂY DỰNG VÀ ĐẦU TƯ THƯƠNG MẠI HOÀNG PHONG,Chị Nhung,981288236,ACTIVE,PREMIUM,STANDARD,LITE,25,Thi công đồ rời,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
35,CÔNG TY TNHH NỘI THẤT SVN,Mr Đông,,ACTIVE,,STANDARD,LITE,24,Thi công đồ rời,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
36,CTY CP XNK XDAILY VIETNAM,Vân,836360222,ACTIVE,,STANDARD,LITE,23,Thi công đồ rời,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
37,CÔNG TY TNHH SOFA 3AE,Mến,,ACTIVE,,STANDARD,LITE,23,Thi công đồ rời,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
38,CÔNG TY CỔ PHẦN THIẾT KẾ VÀ XÂY DỰNG GRASUS ,,981601438,ACTIVE,,STANDARD,LITE,21,Thi công đồ rời,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",
